               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.050624,            0.041426,                   0,             0.86729,             0.68277,             0.74871,             0.41006,            0.047931,            0.041799,                   0,           0.0037388,           0.0037388,           0.0037388
                 159,            0.049894,            0.040372,                   0,             0.87302,             0.67913,             0.74869,              0.4102,            0.047925,            0.041801,                   0,           0.0036869,           0.0036869,           0.0036869
                 160,            0.049846,            0.040678,                   0,              0.8687,             0.68219,             0.74897,             0.41033,            0.047918,              0.0418,                   0,           0.0036353,           0.0036353,           0.0036353
                 161,            0.050157,            0.041753,                   0,             0.87457,             0.67859,             0.74893,             0.41042,            0.047912,              0.0418,                   0,            0.003584,            0.003584,            0.003584
                 162,            0.049061,            0.040024,                   0,             0.87567,             0.67834,             0.74908,             0.41048,            0.047906,            0.041801,                   0,            0.003533,            0.003533,            0.003533
                 163,            0.049984,             0.04057,                   0,              0.8733,             0.68017,             0.74932,             0.41069,            0.047899,            0.041805,                   0,           0.0034823,           0.0034823,           0.0034823
                 164,            0.049378,            0.040758,                   0,             0.87411,             0.67987,             0.74957,             0.41083,            0.047893,              0.0418,                   0,           0.0034319,           0.0034319,           0.0034319
                 165,            0.049324,            0.040327,                   0,             0.87186,             0.68131,             0.74961,             0.41085,            0.047886,            0.041805,                   0,           0.0033818,           0.0033818,           0.0033818
                 166,            0.049615,            0.041447,                   0,             0.87217,             0.68136,             0.74988,             0.41101,            0.047879,            0.041804,                   0,           0.0033321,           0.0033321,           0.0033321
                 167,            0.049374,            0.040777,                   0,             0.87176,             0.68181,             0.74997,             0.41125,            0.047872,            0.041809,                   0,           0.0032827,           0.0032827,           0.0032827
                 168,             0.04933,            0.041203,                   0,             0.87853,             0.67793,             0.75021,             0.41137,            0.047866,            0.041814,                   0,           0.0032337,           0.0032337,           0.0032337
                 169,            0.049594,            0.040974,                   0,             0.87813,             0.67796,             0.74995,             0.41144,             0.04786,            0.041819,                   0,            0.003185,            0.003185,            0.003185
                 170,            0.049288,            0.040018,                   0,             0.87681,             0.67919,              0.7501,             0.41154,            0.047855,            0.041819,                   0,           0.0031367,           0.0031367,           0.0031367
                 171,            0.049236,            0.040489,                   0,             0.87645,             0.67997,             0.75044,             0.41172,             0.04785,            0.041824,                   0,           0.0030888,           0.0030888,           0.0030888
                 172,            0.049749,            0.041383,                   0,             0.87579,             0.68043,             0.75036,             0.41169,            0.047844,            0.041828,                   0,           0.0030412,           0.0030412,           0.0030412
                 173,            0.050085,            0.041413,                   0,             0.87601,             0.68038,              0.7504,             0.41181,            0.047838,            0.041828,                   0,           0.0029941,           0.0029941,           0.0029941
                 174,            0.049434,            0.041337,                   0,             0.87699,             0.67982,             0.75048,             0.41193,            0.047834,            0.041832,                   0,           0.0029473,           0.0029473,           0.0029473
                 175,            0.048867,             0.04016,                   0,             0.87646,             0.68028,             0.75082,             0.41201,             0.04783,            0.041836,                   0,           0.0029009,           0.0029009,           0.0029009
                 176,            0.049135,            0.040549,                   0,             0.87755,             0.67985,             0.75099,             0.41225,            0.047825,             0.04184,                   0,            0.002855,            0.002855,            0.002855
                 177,            0.047933,            0.039482,                   0,             0.87643,             0.68108,             0.75133,             0.41235,            0.047819,            0.041848,                   0,           0.0028094,           0.0028094,           0.0028094
                 178,            0.048977,            0.040811,                   0,             0.87656,             0.68136,             0.75168,             0.41243,            0.047814,            0.041856,                   0,           0.0027643,           0.0027643,           0.0027643
                 179,            0.048838,            0.040518,                   0,             0.87519,             0.68265,             0.75214,             0.41256,             0.04781,            0.041858,                   0,           0.0027196,           0.0027196,           0.0027196
                 180,            0.048848,            0.040434,                   0,              0.8785,             0.68125,             0.75243,             0.41264,            0.047807,            0.041867,                   0,           0.0026754,           0.0026754,           0.0026754
                 181,            0.049276,             0.04077,                   0,             0.87883,             0.68129,             0.75256,             0.41276,            0.047803,             0.04187,                   0,           0.0026316,           0.0026316,           0.0026316
                 182,            0.049134,            0.040537,                   0,             0.87425,             0.68392,              0.7525,             0.41293,              0.0478,            0.041878,                   0,           0.0025882,           0.0025882,           0.0025882
                 183,            0.048955,            0.040433,                   0,              0.8744,             0.68396,             0.75255,             0.41299,            0.047797,             0.04188,                   0,           0.0025454,           0.0025454,           0.0025454
                 184,            0.048549,            0.039975,                   0,             0.87946,             0.68055,              0.7524,             0.41299,            0.047793,            0.041893,                   0,           0.0025029,           0.0025029,           0.0025029
                 185,            0.048979,            0.040577,                   0,             0.87506,             0.68337,             0.75261,             0.41302,            0.047789,            0.041897,                   0,            0.002461,            0.002461,            0.002461
                 186,            0.047971,            0.039707,                   0,             0.87621,             0.68291,             0.75273,             0.41308,            0.047785,            0.041904,                   0,           0.0024195,           0.0024195,           0.0024195
                 187,            0.049003,            0.040447,                   0,             0.87619,             0.68325,             0.75301,             0.41319,            0.047783,            0.041911,                   0,           0.0023786,           0.0023786,           0.0023786
                 188,            0.048393,             0.03984,                   0,              0.8764,             0.68341,             0.75316,             0.41331,            0.047781,            0.041922,                   0,           0.0023381,           0.0023381,           0.0023381
                 189,             0.04893,            0.040179,                   0,             0.87681,             0.68305,              0.7532,             0.41337,             0.04778,             0.04193,                   0,           0.0022981,           0.0022981,           0.0022981
                 190,            0.048492,            0.040177,                   0,             0.87605,             0.68336,             0.75322,             0.41355,             0.04778,            0.041941,                   0,           0.0022586,           0.0022586,           0.0022586
                 191,            0.048668,            0.040367,                   0,             0.87595,             0.68315,             0.75324,             0.41367,            0.047777,            0.041953,                   0,           0.0022196,           0.0022196,           0.0022196
                 192,            0.048057,            0.039275,                   0,             0.87604,             0.68318,             0.75321,             0.41376,            0.047776,            0.041953,                   0,           0.0021812,           0.0021812,           0.0021812
                 193,            0.048688,            0.040431,                   0,              0.8769,             0.68263,             0.75327,             0.41389,            0.047774,            0.041969,                   0,           0.0021433,           0.0021433,           0.0021433
                 194,            0.047691,            0.039499,                   0,             0.87442,             0.68446,             0.75358,             0.41401,            0.047773,            0.041977,                   0,           0.0021059,           0.0021059,           0.0021059
                 195,            0.048505,            0.040492,                   0,             0.87691,             0.68277,             0.75361,             0.41414,            0.047772,            0.041988,                   0,            0.002069,            0.002069,            0.002069
                 196,            0.048041,            0.039515,                   0,             0.87454,             0.68434,             0.75374,             0.41413,            0.047771,            0.041996,                   0,           0.0020327,           0.0020327,           0.0020327
                 197,            0.048244,             0.04023,                   0,             0.87891,             0.68184,             0.75379,             0.41416,            0.047769,            0.042007,                   0,           0.0019969,           0.0019969,           0.0019969
                 198,            0.048098,            0.039199,                   0,             0.87956,             0.68126,             0.75371,             0.41425,            0.047768,            0.042018,                   0,           0.0019617,           0.0019617,           0.0019617
                 199,            0.047715,            0.038736,                   0,             0.87456,             0.68466,             0.75404,             0.41443,            0.047769,            0.042032,                   0,            0.001927,            0.001927,            0.001927
                 200,            0.047867,            0.039389,                   0,             0.87352,             0.68544,               0.754,             0.41446,            0.047772,            0.042046,                   0,           0.0018929,           0.0018929,           0.0018929
